kpi_value_id,kpi_id,cirlce_id,user_id,value,period_year,period_month,created_at,updated_at
1,6,4,3,53.212839743153815,2023,11,2022-02-27 16:30:00.505006,2023-02-07 16:30:00.505223
2,11,4,10,16.77975358744883,2023,2,2022-04-08 16:30:00.505007,2021-11-17 16:30:00.505224
3,18,4,5,14.835499413404985,2022,3,2022-06-05 16:30:00.505008,2023-03-23 16:30:00.505225
4,22,2,8,68.72421966577477,2021,11,2022-07-24 16:30:00.505009,2023-05-29 16:30:00.505226
5,22,3,9,56.27755309150185,2021,1,2023-03-10 16:30:00.505010,2023-08-01 16:30:00.505227
6,69,4,3,90.68062611875042,2022,1,2022-03-10 16:30:00.505011,2023-03-05 16:30:00.505228
7,28,2,3,18.460034404937076,2023,12,2021-01-18 16:30:00.505012,2023-08-04 16:30:00.505228
8,35,5,3,41.110881372687004,2021,7,2023-06-24 16:30:00.505013,2023-06-02 16:30:00.505229
9,43,4,8,72.79602186359784,2022,7,2020-11-14 16:30:00.505014,2023-07-01 16:30:00.505230
10,65,2,6,5.010503390228793,2023,7,2022-01-19 16:30:00.505015,2023-02-15 16:30:00.505231
11,33,1,5,9.922240658548521,2020,11,2022-08-07 16:30:00.505016,2022-12-10 16:30:00.505232
12,48,4,7,54.57079014280206,2021,3,2023-04-28 16:30:00.505017,2023-01-13 16:30:00.505233
13,44,5,4,26.57292165954248,2023,10,2021-12-21 16:30:00.505018,2022-04-07 16:30:00.505234
14,44,5,2,10.693759623426747,2021,10,2021-11-02 16:30:00.505019,2022-07-23 16:30:00.505235
15,15,4,4,26.16975684968622,2023,3,2022-01-30 16:30:00.505019,2023-01-17 16:30:00.505235
16,38,1,5,63.21410877348209,2022,11,2020-11-05 16:30:00.505020,2023-08-26 16:30:00.505236
17,31,6,2,52.63774368243828,2021,9,2022-12-30 16:30:00.505021,2023-01-14 16:30:00.505237
18,63,3,2,7.849676054083088,2023,9,2023-07-18 16:30:00.505022,2023-03-13 16:30:00.505238
19,18,3,4,7.281144555071172,2020,2,2021-04-06 16:30:00.505023,2022-10-30 16:30:00.505239
20,71,2,7,85.06269918187016,2021,4,2021-09-13 16:30:00.505024,2022-10-05 16:30:00.505240
21,14,4,6,64.32389604915947,2021,7,2023-07-14 16:30:00.505024,2022-09-28 16:30:00.505241
22,42,6,8,17.3367258246811,2021,3,2023-08-01 16:30:00.505025,2022-06-20 16:30:00.505241
23,6,5,2,86.18340673453348,2022,5,2021-12-21 16:30:00.505026,2021-11-22 16:30:00.505242
24,53,1,3,2.1849383341961626,2022,4,2021-05-26 16:30:00.505027,2022-01-06 16:30:00.505243
25,10,2,1,36.81047923863917,2022,11,2022-10-28 16:30:00.505028,2022-09-02 16:30:00.505244
26,49,5,1,84.76297370096515,2022,12,2023-07-07 16:30:00.505029,2021-11-02 16:30:00.505245
27,19,4,10,71.02784127552225,2023,7,2020-10-17 16:30:00.505030,2022-08-29 16:30:00.505246
28,17,5,1,28.375240579198934,2020,6,2021-05-12 16:30:00.505031,2023-06-29 16:30:00.505246
29,44,1,4,89.12814945011249,2023,12,2022-09-16 16:30:00.505031,2022-07-19 16:30:00.505247
30,15,1,1,59.80780012429903,2022,3,2022-08-20 16:30:00.505032,2023-01-21 16:30:00.505248
31,49,6,8,86.54933191750928,2022,4,2022-06-09 16:30:00.505033,2022-05-15 16:30:00.505249
32,10,5,9,89.27933740259834,2022,5,2023-02-05 16:30:00.505034,2022-10-12 16:30:00.505250
33,71,2,10,42.54440773441915,2021,12,2023-01-05 16:30:00.505035,2023-03-30 16:30:00.505250
34,29,3,8,67.56003377375025,2022,3,2020-11-26 16:30:00.505036,2022-01-17 16:30:00.505251
35,11,2,6,54.44763147281303,2023,6,2023-01-21 16:30:00.505037,2021-12-03 16:30:00.505252
36,35,2,5,94.47352378727902,2022,8,2022-04-01 16:30:00.505037,2023-06-04 16:30:00.505253
37,47,3,2,79.8160742835389,2022,9,2021-03-04 16:30:00.505038,2023-01-26 16:30:00.505254
38,38,2,10,72.5818500464358,2020,5,2022-08-22 16:30:00.505039,2023-07-16 16:30:00.505255
39,69,5,3,81.40323746264131,2022,2,2023-06-07 16:30:00.505040,2022-07-08 16:30:00.505255
