kpi_value_id,kpi_id,cirlce_id,user_id,value,period_year,period_month,created_at,updated_at
1,6,4,3,53.212839743153815,2023,11,2022-02-27 16:51:41.678001,2023-02-07 16:51:41.678223
2,11,4,10,16.77975358744883,2023,2,2022-04-08 16:51:41.678002,2021-11-17 16:51:41.678224
3,18,4,5,14.835499413404985,2022,3,2022-06-05 16:51:41.678003,2023-03-23 16:51:41.678225
4,22,2,8,68.72421966577477,2021,11,2022-07-24 16:51:41.678004,2023-05-29 16:51:41.678226
5,22,3,9,56.27755309150185,2021,1,2023-03-10 16:51:41.678005,2023-08-01 16:51:41.678227
6,69,4,3,90.68062611875042,2022,1,2022-03-10 16:51:41.678007,2023-03-05 16:51:41.678228
7,28,2,3,18.460034404937076,2023,12,2021-01-18 16:51:41.678007,2023-08-04 16:51:41.678228
8,35,5,3,41.110881372687004,2021,7,2023-06-24 16:51:41.678009,2023-06-02 16:51:41.678229
9,43,4,8,72.79602186359784,2022,7,2020-11-14 16:51:41.678010,2023-07-01 16:51:41.678230
10,65,2,6,5.010503390228793,2023,7,2022-01-19 16:51:41.678011,2023-02-15 16:51:41.678231
11,33,1,5,9.922240658548521,2020,11,2022-08-07 16:51:41.678012,2022-12-10 16:51:41.678232
12,48,4,7,54.57079014280206,2021,3,2023-04-28 16:51:41.678014,2023-01-13 16:51:41.678233
13,44,5,4,26.57292165954248,2023,10,2021-12-21 16:51:41.678014,2022-04-07 16:51:41.678234
14,44,5,2,10.693759623426747,2021,10,2021-11-02 16:51:41.678015,2022-07-23 16:51:41.678235
15,15,4,4,26.16975684968622,2023,3,2022-01-30 16:51:41.678016,2023-01-17 16:51:41.678235
16,38,1,5,63.21410877348209,2022,11,2020-11-05 16:51:41.678017,2023-08-26 16:51:41.678236
17,31,6,2,52.63774368243828,2021,9,2022-12-30 16:51:41.678018,2023-01-14 16:51:41.678237
18,63,3,2,7.849676054083088,2023,9,2023-07-18 16:51:41.678019,2023-03-13 16:51:41.678238
19,18,3,4,7.281144555071172,2020,2,2021-04-06 16:51:41.678020,2022-10-30 16:51:41.678239
20,71,2,7,85.06269918187016,2021,4,2021-09-13 16:51:41.678021,2022-10-05 16:51:41.678240
21,14,4,6,64.32389604915947,2021,7,2023-07-14 16:51:41.678022,2022-09-28 16:51:41.678241
22,42,6,8,17.3367258246811,2021,3,2023-08-01 16:51:41.678023,2022-06-20 16:51:41.678241
23,6,5,2,86.18340673453348,2022,5,2021-12-21 16:51:41.678024,2021-11-22 16:51:41.678242
24,53,1,3,2.1849383341961626,2022,4,2021-05-26 16:51:41.678025,2022-01-06 16:51:41.678243
25,10,2,1,36.81047923863917,2022,11,2022-10-28 16:51:41.678026,2022-09-02 16:51:41.678244
26,49,5,1,84.76297370096515,2022,12,2023-07-07 16:51:41.678027,2021-11-02 16:51:41.678245
27,19,4,10,71.02784127552225,2023,7,2020-10-17 16:51:41.678027,2022-08-29 16:51:41.678246
28,17,5,1,28.375240579198934,2020,6,2021-05-12 16:51:41.678028,2023-06-29 16:51:41.678246
29,44,1,4,89.12814945011249,2023,12,2022-09-16 16:51:41.678029,2022-07-19 16:51:41.678247
30,15,1,1,59.80780012429903,2022,3,2022-08-20 16:51:41.678030,2023-01-21 16:51:41.678248
31,49,6,8,86.54933191750928,2022,4,2022-06-09 16:51:41.678031,2022-05-15 16:51:41.678249
32,10,5,9,89.27933740259834,2022,5,2023-02-05 16:51:41.678032,2022-10-12 16:51:41.678250
33,71,2,10,42.54440773441915,2021,12,2023-01-05 16:51:41.678033,2023-03-30 16:51:41.678250
34,29,3,8,67.56003377375025,2022,3,2020-11-26 16:51:41.678034,2022-01-17 16:51:41.678251
35,11,2,6,54.44763147281303,2023,6,2023-01-21 16:51:41.678035,2021-12-03 16:51:41.678252
36,35,2,5,94.47352378727902,2022,8,2022-04-01 16:51:41.678036,2023-06-04 16:51:41.678253
37,47,3,2,79.8160742835389,2022,9,2021-03-04 16:51:41.678037,2023-01-26 16:51:41.678254
38,38,2,10,72.5818500464358,2020,5,2022-08-22 16:51:41.678038,2023-07-16 16:51:41.678255
39,69,5,3,81.40323746264131,2022,2,2023-06-07 16:51:41.678038,2022-07-08 16:51:41.678255
40,15,2,2,99.81599522851606,2021,9,2021-09-19 16:51:41.678039,2022-12-19 16:51:41.678256
41,59,3,4,25.656118547402606,2023,5,2021-03-08 16:51:41.678040,2022-04-01 16:51:41.678257
42,36,3,7,20.136363065451267,2021,4,2021-11-12 16:51:41.678041,2022-11-21 16:51:41.678258
43,14,5,4,74.67828134595477,2023,12,2021-10-02 16:51:41.678042,2022-10-20 16:51:41.678259
44,6,3,8,77.03325106256943,2021,8,2022-07-05 16:51:41.678043,2022-09-14 16:51:41.678260
45,38,6,8,51.428379771166966,2023,1,2023-09-09 16:51:41.678044,2022-08-05 16:51:41.678261
46,2,4,7,48.70758136839637,2021,5,2023-08-31 16:51:41.678045,2022-06-18 16:51:41.678261
47,2,2,3,40.37430704820498,2020,10,2021-01-01 16:51:41.678046,2022-09-20 16:51:41.678262
48,12,5,4,88.26969303940861,2023,10,2023-07-24 16:51:41.678046,2022-10-03 16:51:41.678263
49,53,3,4,79.6231877641984,2022,2,2022-10-27 16:51:41.678047,2022-11-09 16:51:41.678264
50,15,4,5,58.45975982069754,2021,10,2022-04-28 16:51:41.678048,2022-08-19 16:51:41.678265
51,6,4,8,4.01190843569209,2023,6,2023-07-09 16:51:41.678049,2022-06-03 16:51:41.678265
52,25,1,9,85.11415942600506,2022,8,2023-09-10 16:51:41.678050,2022-04-23 16:51:41.678266
53,31,2,10,45.84536776423547,2023,5,2022-06-14 16:51:41.678051,2023-09-11 16:51:41.678267
54,54,5,7,18.97605282107142,2022,10,2023-04-08 16:51:41.678051,2022-09-14 16:51:41.678268
55,21,4,4,29.935427528616433,2022,1,2020-10-20 16:51:41.678052,2023-05-21 16:51:41.678269
56,15,2,8,69.13344758903868,2021,1,2022-10-09 16:51:41.678053,2022-11-23 16:51:41.678270
57,58,3,5,0.5507078325543091,2021,6,2023-07-19 16:51:41.678054,2023-04-09 16:51:41.678270
58,22,1,6,12.004464732009835,2021,3,2020-10-12 16:51:41.678055,2022-11-23 16:51:41.678271
59,31,1,8,30.265363687643365,2022,3,2022-08-14 16:51:41.678055,2022-02-25 16:51:41.678272
60,21,1,10,88.71913551832168,2022,11,2022-07-27 16:51:41.678056,2023-05-22 16:51:41.678273
61,14,5,2,74.68604394462109,2022,2,2021-04-04 16:51:41.678057,2022-03-16 16:51:41.678274
62,56,6,4,97.07917256397661,2021,2,2022-02-14 16:51:41.678058,2021-09-30 16:51:41.678274
63,49,1,2,54.302873943036666,2021,7,2022-05-19 16:51:41.678059,2023-04-28 16:51:41.678275
64,70,5,1,57.19682275786375,2021,11,2020-12-28 16:51:41.678060,2023-04-11 16:51:41.678276
65,38,3,1,55.13768068142746,2023,10,2020-11-26 16:51:41.678061,2022-06-17 16:51:41.678277
66,71,6,1,52.56272138017167,2022,4,2021-08-29 16:51:41.678061,2021-12-07 16:51:41.678278
67,33,6,8,54.20405711205759,2022,12,2021-12-02 16:51:41.678062,2021-12-25 16:51:41.678279
68,62,6,6,81.85675511269973,2022,4,2021-07-18 16:51:41.678063,2023-04-26 16:51:41.678280
69,41,2,7,95.33687347014596,2023,9,2023-05-01 16:51:41.678064,2023-05-13 16:51:41.678281
70,13,1,10,40.83007693497043,2023,9,2022-08-25 16:51:41.678065,2023-04-17 16:51:41.678281
71,27,5,5,62.99652426023742,2022,7,2022-09-22 16:51:41.678065,2023-07-09 16:51:41.678282
72,41,3,4,30.775940755398768,2021,2,2022-09-09 16:51:41.678066,2022-01-10 16:51:41.678283
73,6,5,7,30.191038646507018,2023,12,2022-01-28 16:51:41.678067,2023-01-12 16:51:41.678284
74,4,3,3,50.63173505975552,2021,4,2021-05-09 16:51:41.678068,2023-01-30 16:51:41.678285
75,2,4,3,58.62676586235078,2023,7,2021-01-31 16:51:41.678069,2022-09-29 16:51:41.678285
76,38,5,1,54.999446699402576,2021,11,2021-09-14 16:51:41.678070,2021-12-07 16:51:41.678286
77,41,6,1,97.65797032009982,2021,9,2023-08-12 16:51:41.678071,2022-11-10 16:51:41.678287
78,58,3,7,16.297123769479814,2022,3,2021-01-03 16:51:41.678072,2023-04-06 16:51:41.678288
79,51,5,3,63.66644129872755,2021,12,2023-08-17 16:51:41.678073,2022-12-19 16:51:41.678289
80,41,3,9,99.45310087813287,2021,10,2023-02-26 16:51:41.678074,2022-06-01 16:51:41.678290
81,52,1,1,73.6135286551329,2021,5,2021-04-26 16:51:41.678075,2022-11-15 16:51:41.678290
82,9,1,10,56.59085142333045,2021,12,2021-10-25 16:51:41.678076,2023-07-11 16:51:41.678291
83,9,4,7,368.3631525998418,2023,1,2021-11-03 16:51:41.678077,2022-07-17 16:51:41.678292
84,41,6,5,40.213888348307435,2023,12,2023-04-30 16:51:41.678078,2023-04-24 16:51:41.678293
85,59,4,3,93.65230922325853,2021,2,2021-05-21 16:51:41.678079,2022-03-14 16:51:41.678294
86,15,3,2,89.53304495737954,2023,4,2022-08-25 16:51:41.678079,2022-10-02 16:51:41.678294
87,33,3,8,66.96762890989386,2023,10,2020-11-09 16:51:41.678080,2022-06-25 16:51:41.678295
88,28,5,5,89.87478918617728,2023,7,2020-12-20 16:51:41.678081,2023-06-10 16:51:41.678296
89,70,4,1,92.51636496933648,2023,11,2020-12-06 16:51:41.678082,2023-04-22 16:51:41.678297
90,61,3,1,84.63435694934304,2022,8,2021-01-23 16:51:41.678083,2021-10-28 16:51:41.678298
91,46,6,9,-500.0,2020,9,2021-03-21 16:51:41.678084,2022-11-09 16:51:41.678298
92,34,6,1,46.43646424409569,2020,10,2021-02-06 16:51:41.678085,2023-07-20 16:51:41.678299
93,24,5,9,79.59075032289314,2021,4,2022-10-25 16:51:41.678086,2021-10-27 16:51:41.678300
94,70,4,3,37.263302978751554,2022,5,2022-03-28 16:51:41.678086,2023-03-21 16:51:41.678301
95,27,1,1,74.93638087232053,2021,1,2020-10-19 16:51:41.678087,2022-05-25 16:51:41.678302
96,40,6,5,48.14203811335208,2021,11,2022-01-19 16:51:41.678088,2022-03-30 16:51:41.678302
97,26,4,2,33.6541305396399,2022,3,2021-07-09 16:51:41.678089,2023-08-24 16:51:41.678303
