target_id,kpi_id,target_value,timeframe,created_at,updated_at
1,1,2000,2024-04-18 16:51:41.686072,2022-02-10 16:51:41.686300,2022-11-01 16:51:41.686368
2,2,1000,2024-05-16 16:51:41.686093,2021-10-14 16:51:41.686302,2022-05-20 16:51:41.686368
3,3,400,2023-12-14 16:51:41.686094,2022-10-08 16:51:41.686303,2021-10-21 16:51:41.686370
4,4,400,2024-06-01 16:51:41.686095,2022-03-18 16:51:41.686305,2022-08-21 16:51:41.686370
5,5,2000,2024-09-20 16:51:41.686096,2022-09-24 16:51:41.686305,2022-03-28 16:51:41.686371
6,6,400,2024-01-31 16:51:41.686097,2023-08-03 16:51:41.686306,2023-02-17 16:51:41.686372
7,7,400,2023-10-18 16:51:41.686098,2023-05-27 16:51:41.686308,2023-04-11 16:51:41.686373
8,8,100000,2024-08-21 16:51:41.686100,2023-05-19 16:51:41.686309,2023-01-25 16:51:41.686374
9,9,80000,2024-02-02 16:51:41.686101,2022-06-15 16:51:41.686310,2022-03-28 16:51:41.686375
10,10,20000,2023-11-08 16:51:41.686103,2021-03-30 16:51:41.686311,2023-03-08 16:51:41.686376
11,11,10000,2023-11-04 16:51:41.686103,2021-12-14 16:51:41.686312,2022-01-28 16:51:41.686377
12,12,1000,2023-10-18 16:51:41.686104,2021-04-07 16:51:41.686313,2023-01-20 16:51:41.686378
13,13,800,2024-06-20 16:51:41.686105,2021-11-11 16:51:41.686314,2023-08-07 16:51:41.686379
14,14,10000,2024-06-14 16:51:41.686106,2023-03-04 16:51:41.686315,2022-11-04 16:51:41.686380
15,15,80000,2024-05-27 16:51:41.686107,2021-07-25 16:51:41.686316,2022-01-02 16:51:41.686381
16,16,4000,2024-07-16 16:51:41.686108,2023-06-10 16:51:41.686317,2023-07-27 16:51:41.686382
17,17,8000,2024-06-02 16:51:41.686109,2021-02-11 16:51:41.686318,2022-10-27 16:51:41.686382
18,18,8000,2024-09-21 16:51:41.686110,2022-03-08 16:51:41.686319,2022-07-26 16:51:41.686383
19,19,10000,2024-03-14 16:51:41.686111,2021-06-12 16:51:41.686320,2023-08-29 16:51:41.686384
20,20,10000,2024-06-21 16:51:41.686111,2021-02-18 16:51:41.686321,2022-10-11 16:51:41.686385
21,21,1000,2023-12-25 16:51:41.686112,2021-11-19 16:51:41.686321,2022-09-25 16:51:41.686386
22,22,400,2024-07-13 16:51:41.686113,2020-11-23 16:51:41.686322,2022-09-23 16:51:41.686387
23,23,10000,2024-09-25 16:51:41.686114,2023-03-16 16:51:41.686323,2022-01-22 16:51:41.686387
24,24,20000,2024-06-09 16:51:41.686115,2022-10-27 16:51:41.686324,2022-01-27 16:51:41.686388
25,25,10000,2024-04-19 16:51:41.686116,2021-06-29 16:51:41.686325,2021-11-21 16:51:41.686389
26,26,1000,2023-10-05 16:51:41.686117,2021-05-07 16:51:41.686326,2022-08-06 16:51:41.686390
27,27,20000,2024-04-13 16:51:41.686118,2021-01-23 16:51:41.686327,2023-02-26 16:51:41.686391
28,28,100000,2024-07-07 16:51:41.686118,2020-11-27 16:51:41.686328,2022-12-07 16:51:41.686392
29,29,800,2024-07-12 16:51:41.686119,2022-11-27 16:51:41.686329,2023-02-11 16:51:41.686393
30,30,1000,2024-05-16 16:51:41.686120,2021-12-13 16:51:41.686329,2022-11-11 16:51:41.686394
31,31,40000,2023-12-22 16:51:41.686121,2022-12-04 16:51:41.686330,2022-08-18 16:51:41.686395
32,32,400,2024-07-28 16:51:41.686122,2021-10-12 16:51:41.686331,2021-10-13 16:51:41.686395
33,33,40000,2024-07-26 16:51:41.686123,2022-12-21 16:51:41.686332,2022-08-31 16:51:41.686396
34,34,100,2024-04-07 16:51:41.686124,2022-08-28 16:51:41.686333,2021-11-12 16:51:41.686397
35,35,2000,2023-10-25 16:51:41.686125,2022-06-25 16:51:41.686334,2023-04-02 16:51:41.686398
36,36,200,2024-04-04 16:51:41.686126,2022-07-13 16:51:41.686335,2023-09-20 16:51:41.686399
37,37,4000,2024-03-27 16:51:41.686127,2021-03-13 16:51:41.686336,2022-08-26 16:51:41.686400
38,38,4000,2024-05-10 16:51:41.686128,2022-11-14 16:51:41.686337,2021-12-01 16:51:41.686400
39,39,80000,2024-01-28 16:51:41.686128,2023-03-01 16:51:41.686338,2022-10-05 16:51:41.686401
40,40,40000,2024-09-15 16:51:41.686129,2023-03-02 16:51:41.686338,2022-01-18 16:51:41.686402
41,41,10000,2024-08-24 16:51:41.686130,2021-05-11 16:51:41.686339,2022-01-06 16:51:41.686403
42,42,80000,2024-09-02 16:51:41.686131,2023-06-13 16:51:41.686340,2023-02-13 16:51:41.686404
43,43,400,2024-07-04 16:51:41.686132,2021-03-14 16:51:41.686341,2023-02-01 16:51:41.686405
44,44,20000,2024-03-02 16:51:41.686133,2022-11-22 16:51:41.686342,2023-07-23 16:51:41.686406
45,45,8000,2023-11-13 16:51:41.686134,2021-08-22 16:51:41.686343,2022-01-10 16:51:41.686406
